GEOID,area
170310101001,62459.68418932094
170310101002,182419.1697215555
170310101003,124036.1666049434
170310102011,95921.35893584216
170310102012,259307.97072522368
170310102013,149216.12906990465
170310102021,184003.8903769821
170310102022,167736.91630787734
170310103001,86521.14316626411
170310103002,147069.66174884603
170310103003,104437.15867673716
170310103004,131786.04791588077
170310104001,141754.81967401027
170310104002,137990.56942464266
170310104003,264072.85556655045
170310105011,45264.83519201703
170310105012,74562.98475629538
170310105013,82306.99271828709
170310105021,89906.98513420422
170310105022,90479.4029546607
170310105031,110036.8209098584
170310105032,84176.63772479932
170310106001,162230.11344690644
170310106002,96323.0416613458
170310106003,123153.46092050977
170310106004,113308.97997406202
170310107011,180131.06662919052
170310107012,249560.5033160101
170310107021,117638.94437475532
170310107022,79468.33505304669
170310107023,98723.76785243166
170310107024,61717.30712359131
170310201001,227935.34163905287
170310201002,183202.2181533998
170310202001,308475.5197761295
170310202002,295605.72841515875
170310202003,303777.9282027269
170310202004,334081.266837152
170310203011,198897.97209404453
170310203012,311257.15596404206
170310203013,315363.2433238493
170310203021,118694.23025106089
170310203022,140430.9193336404
170310203023,380793.9380642709
170310204001,157056.9948386731
170310204002,212454.25081681056
170310204003,186061.9605277961
170310205001,138286.91254396905
170310205002,76732.40633900758
170310205003,505824.179044793
170310205004,50815.45386740501
170310206011,263854.1243502172
170310206012,204810.09568743085
170310206013,122662.66791081308
170310206021,123507.01775544412
170310206022,122593.5214626027
170310206023,122576.9299327881
170310206024,123347.60224331373
170310207011,433171.0234741565
170310207012,158221.8217494239
170310207021,230015.70545719864
170310207022,159544.0633952929
170310207023,157431.6091478886
170310207024,157329.78112161893
170310208011,163058.32820363034
170310208012,165069.6112196185
170310208013,162721.85517268453
170310208014,165100.5496767815
170310208021,160632.00812747522
170310208022,159179.42956533836
170310208023,161358.4586252469
170310208024,162845.01794887407
170310209011,163772.97836770056
170310209012,161104.4582578202
170310209013,163364.5266174225
170310209021,372728.48520697554
170310209022,129158.67107754872
170310301011,60294.697566837705
170310301012,15124.724188211452
170310301013,29074.014456848807
170310301014,23889.473792488177
170310301021,19719.88053803307
170310301022,54418.484461055705
170310301023,44135.699501152056
170310301031,39873.68130285903
170310301032,51505.30776524245
170310301041,101864.86859391328
170310301042,12388.54020683348
170310302001,163028.27155956056
170310302002,174149.19772995223
170310302003,163171.8137868185
170310302004,165848.07066886677
170310303001,156458.84461366973
170310303002,157692.23977341835
170310304001,178431.3103905165
170310304002,168057.2052883147
170310305001,127580.44376077152
170310305002,195915.7706772177
170310305003,155026.60723280572
170310305004,139610.44349587036
170310306011,35454.479114819136
170310306012,69647.3911224571
170310306013,40005.45575422347
170310306031,58042.1446699401
170310306032,57956.28925762471
170310306041,54998.2468655288
170310306042,110796.33158372989
170310306043,24031.38235021413
170310307011,69877.36153605342
170310307021,10450.80285152727
170310307022,11643.27973345028
170310307031,92528.67940015356
170310307032,11795.77617559118
170310307033,93964.99795692448
170310307061,337074.0041451373
170310307062,48373.21519879942
170310308001,143492.247101674
170310308002,140579.2763473403
170310308003,140687.25337753122
170310308004,142652.99399362548
170310309001,100957.11553621184
170310309002,103894.61908437806
170310309003,102233.31559675648
170310309004,101633.28713984728
170310310001,102248.77098455996
170310310002,147598.04674305976
170310310003,175050.69799664314
170310311001,179501.12409283457
170310311002,243686.1788894879
170310311003,126777.85754440592
170310312001,64141.399135494925
170310312002,102183.354271622
170310312003,97907.43266473232
170310312004,62240.433810571885
170310313001,377421.4204690751
170310313002,45471.29633029587
170310313003,20106.527551208244
170310313004,132503.0065957969
170310313005,56504.06792869109
170310314001,48678.35108026041
170310314002,60322.05220718268
170310314003,77000.52580625875
170310314004,850527.8921555656
170310314005,77187.23741218037
170310314006,387723.33514631976
170310315011,26917.557489564668
170310315012,78481.27312576043
170310315013,54012.31032781667
170310315021,81171.00803515293
170310315022,37337.87429360694
170310315023,43194.99931005117
170310317001,128868.34948259754
170310317002,122454.52171210988
170310317003,113693.07218684231
170310317004,112460.19873509274
170310318001,235147.8951821053
170310319001,125982.43206899815
170310319002,131686.44633617805
170310321001,129273.69258210958
170310321002,68773.99675566077
170310321003,92716.70092133518
170310321004,33025.94772395948
170310321005,107236.5762632002
170310401001,1702858.7949694472
170310401002,143799.67086770496
170310401003,155013.7803437653
170310402011,177513.33680769903
170310402012,229837.6443074115
170310402013,142097.42601554125
170310402014,171962.7601366259
170310402021,102864.33533144354
170310402022,192827.8573182589
170310402023,118436.75431942791
170310402024,174527.04201855484
170310403001,243721.1858712868
170310403002,216056.78632730336
170310403003,307672.71259971434
170310404011,98917.81950166496
170310404012,101825.20289471696
170310404013,67238.8838221448
170310404014,117814.8379225174
170310404021,99609.37361659211
170310404022,161626.78244764043
170310404023,102991.41362264178
170310404024,102562.6353212956
170310404025,135790.80208316544
170310406001,95478.20419005337
170310406002,108778.75392268714
170310406003,126999.99467463444
170310407001,84598.886364824
170310407002,84726.1230768195
170310407003,99757.75324945846
170310407004,88337.7742980243
170310408001,119739.47017715752
170310408002,109465.90586790787
170310409001,159062.43160630122
170310409002,162791.48562465343
170310501001,142672.31246228487
170310501002,191963.3103204492
170310502001,122296.08426480832
170310502002,285731.47014869587
170310502003,244220.6663681236
170310503001,125309.53198324476
170310503002,100174.30674741555
170310503003,169245.8792251957
170310505001,122406.50763414468
170310505002,204061.1301946732
170310505003,101933.6494478874
170310505004,101893.3476853162
170310505005,122283.18069092568
170310506001,166520.56707172308
170310506002,165794.08800337563
170310507001,164327.43150658094
170310508001,162817.9209865314
170310509001,162720.84157667914
170310510001,166634.6717868817
170310511001,162699.11014754674
170310512001,82049.97497969696
170310512002,82593.7394623626
170310513001,164396.44642897393
170310513002,157621.52733857994
170310514001,163002.0378424707
170310514002,195880.5493628863
170310601001,109712.4012563273
170310601002,113996.81520111195
170310601003,101836.53911212228
170310602001,158559.29728790632
170310602002,159718.53891334686
170310603001,159597.3404585205
170310603002,160246.0428310575
170310604001,130668.56668765302
170310604002,101548.79073025774
170310604003,92813.43506652216
170310605001,228282.0155135584
170310608001,51200.88308853575
170310608002,62357.7810575796
170310608003,68317.26496495517
170310609001,96134.86669843968
170310609002,259099.9537435632
170310609003,46083.64983133639
170310609004,84697.75071379541
170310609005,16320.053079766722
170310610001,172814.61284246115
170310611001,173035.21085124568
170310612001,174670.3502818263
170310615001,162911.01493439323
170310618001,82768.69864698844
170310619011,34350.10503845844
170310619012,49605.58016585627
170310619013,39369.37108954135
170310619014,37787.40990239544
170310619021,20445.72360372708
170310619022,42056.2223708801
170310619023,190825.6830182516
170310619024,22753.344221192223
170310620001,161196.42637006202
170310620002,63779.379460617936
170310621001,58640.62623735507
170310621002,56738.955710275135
170310621003,129426.41915676623
170310622001,119783.64286096612
170310622002,122539.13061577833
170310623001,163309.96693531104
170310624001,162937.4165697787
170310625001,161002.03201446054
170310626001,330019.2409405223
170310627001,101806.11080387756
170310627002,101477.20897338253
170310627003,121815.04077765907
170310628001,99127.53899857023
170310628002,101507.44225457568
170310628003,124975.5692750166
170310629001,102057.573848212
170310629002,101447.60002854138
170310629003,122231.78371823716
170310630001,161737.20122314003
170310630002,106864.75586967448
170310630003,55747.99711170222
170310631001,98223.58913090308
170310631002,61401.62637721975
170310632001,31935.501065895693
170310632002,25319.34656670309
170310632003,38645.70824342355
170310632004,181890.6942299828
170310632005,22044.538375251177
170310632006,65110.51769314518
170310633011,31095.367197811924
170310633012,36168.22874193815
170310633013,26575.325099380872
170310633021,44164.396828640085
170310633022,24034.894562650792
170310633023,26718.434584463823
170310633024,26280.62826129448
170310633031,152495.8101456959
170310633032,82955.04641920025
170310634001,102648.45239541646
170310634002,56201.707490689136
170310701011,20774.515305689536
170310701012,51016.41857689331
170310701013,596467.1254245517
170310701021,69001.41855612348
170310701022,36959.19484211877
170310701023,18741.00549590676
170310701031,35505.26983141845
170310701032,33587.20090940787
170310702001,161975.40510593916
170310702002,111163.58211283
170310702003,68265.5577174949
170310703001,187277.9704706007
170310703002,137129.55649250376
170310704001,121756.29513315788
170310704002,101364.21525007414
170310704003,101242.32066585214
170310705001,114462.4929750639
170310705002,94085.755613238
170310705003,96867.55320626782
170310706001,201803.9162772756
170310706002,141353.11930846135
170310707001,306190.8531902516
170310707002,379936.5263174144
170310710001,162376.64318960052
170310710002,162263.34034402113
170310711001,190800.191149261
170310711002,134656.82328087784
170310712001,122251.00100130524
170310712002,202950.76789493425
170310713001,146993.25130905845
170310713002,162588.50281164193
170310714001,47868.73391698855
170310714002,499914.9700606128
170310714003,41804.031605805205
170310714004,82118.22060131232
170310715001,65551.14272914243
170310715002,26018.65183321356
170310715003,656970.7605905989
170310715004,104216.10867592123
170310715005,42083.39986503407
170310715006,30819.03512345664
170310716001,162168.11108070245
170310717001,80618.12228041382
170310717002,79332.57116172001
170310718001,243267.08093737857
170310718002,80101.52510358652
170310801001,23600.840161860506
170310801002,38135.53402292517
170310801003,18760.679232592272
170310801004,63427.12674009583
170310801005,80184.88148787899
170310801006,22820.45801450697
170310801007,17753.718637661947
170310802011,58740.53574463716
170310802012,56383.57131730314
170310802013,20253.33485020981
170310802021,39617.75413117705
170310802022,56417.86720054489
170310802023,59204.73030544824
170310803001,84075.84125389378
170310803002,104356.92703959125
170310803003,93471.64174048632
170310803004,79598.26901486967
170310804001,102695.39224521196
170310804002,102329.13926265592
170310804003,122218.68087380756
170310810001,27219.11526761046
170310810002,89995.54785750725
170310810003,35883.1273053552
170310810004,21268.76924576948
170310810005,94423.96115292847
170310810006,30036.736125398584
170310811001,49491.54754966387
170310811002,26198.343058503124
170310811003,27305.28182551727
170310812011,59218.57060464999
170310812012,93419.1811785216
170310812013,32485.410733013698
170310812021,141516.84577053745
170310812022,29684.28508402283
170310812023,26507.49888477175
170310812024,28862.779015861885
170310813001,14229.69072104658
170310813002,18383.502624633034
170310813003,33788.124455460165
170310813004,77714.25582765583
170310813005,18180.26601384104
170310813006,39711.759064073216
170310814011,122897.23639038454
170310814012,158458.31352851167
170310814021,515363.13508196425
170310814022,24572.10280119393
170310814023,35533.383994471
170310814031,326614.1946102609
170310814032,47997.52626889082
170310814033,48477.93950288515
170310815001,52370.88568569396
170310815002,126924.4417578136
170310815003,116512.9722619003
170310816001,94918.5097654058
170310816002,37879.42605282199
170310817001,73533.19679748248
170310817002,298030.91097577097
170310818001,186230.2116086924
170310818002,310794.7698753004
170310818003,248690.3348316338
170310819001,137297.07304675342
170310901001,244813.52975004652
170310901002,244319.824475332
170310901003,204129.14567368224
170310901004,239294.50649062227
170310902001,278937.7270494609
170310902002,287894.3877226367
170310902003,290030.31641773926
170310902004,393938.9447694985
170310902005,278595.6423846278
170310903001,475821.0126303899
170311001001,267089.4943880652
170311001002,384006.3029003964
170311001003,161112.0553089266
170311001004,162554.73159885796
170311001005,207625.62008220592
170311002001,481629.7235944549
170311002002,256221.4299301726
170311002003,271057.98202828603
170311002004,294635.1216771151
170311002005,330494.89949136577
170311002006,232190.03431644657
170311002007,221022.39045978844
170311003001,626509.123652563
170311003002,336801.1005922178
170311003003,330021.8241309797
170311003004,380100.52490240725
170311003005,267227.80934888555
170311003006,345540.631721286
170311004001,235207.52147309773
170311004002,218804.6373380208
170311004003,517744.4234089396
170311005001,305570.38136702444
170311005002,248703.2225247171
170311005003,333480.9343480786
170311005004,399104.47476456914
170311005005,654897.8104193469
170311006001,259800.57389559425
170311006002,235324.7753134776
170311006003,259857.0987541821
170311006004,527484.3805185277
170311007001,227005.904460394
170311007002,227155.73169448145
170311007003,228894.4361067782
170311007004,224186.51178471925
170311007005,307923.7061439877
170311101001,756537.2237231123
170311101002,171954.07633188408
170311101003,124028.83993396096
170311101004,190174.778267766
170311101005,601631.1638574176
170311102001,282243.2652250903
170311102002,314004.52769818355
170311103001,249216.61648039627
170311103002,250171.41452822209
170311103003,215051.8969001069
170311103004,261813.9700093644
170311103005,234417.90346841668
170311104001,510660.4402942839
170311104002,230245.57419173623
170311104003,193069.7205133832
170311105011,188092.5582955938
170311105012,136587.1368150295
170311105013,246751.65938610025
170311105014,71986.93541566405
170311105015,148189.19455120043
170311105021,258022.5714956632
170311105022,391307.2240659269
170311201001,528139.1220947837
170311201002,339208.8250199488
170311201003,1520388.0694212855
170311201004,384128.4747483113
170311202001,522107.15997541096
170311202002,347345.642788244
170311202003,245822.65205233503
170311202004,1272725.8542081376
170311203001,274071.49835763103
170311203002,373634.7715701367
170311203003,434986.8635897933
170311203004,321093.8388843234
170311203005,315242.9186449812
170311203006,336044.03507766937
170311204001,503345.7466091631
170311204002,297222.465825262
170311204003,264131.52187982365
170311301001,245904.2423568124
170311301002,940652.5217962808
170311301003,653073.5264828353
170311302001,2079027.6681854976
170311303001,163933.27028767252
170311303002,165022.54801907606
170311303003,269374.4703104865
170311303004,122769.53353570572
170311401001,166312.15343737553
170311401002,121670.24362504776
170311402001,142699.87495289347
170311402002,102452.6810678762
170311402003,149301.2180994253
170311403011,82018.32468131148
170311403012,82109.07393254303
170311403021,81978.08152380872
170311403022,160632.42906234355
170311403023,179283.33971081162
170311404001,186208.4802479857
170311404002,165737.16045869543
170311404003,165778.31365247606
170311404004,180107.1140825786
170311404005,483727.8090097083
170311405001,142642.55004287162
170311405002,131361.5776989847
170311405003,178815.95841949494
170311406011,272125.3398905474
170311406021,40955.78163297784
170311406022,123108.87041259871
170311406023,146035.16207384912
170311406024,74282.05272865866
170311407011,146447.13264434863
170311407012,81880.79477744507
170311407021,112272.80049908967
170311407022,89389.52982422474
170311407023,123164.66767323464
170311407024,102266.27520766044
170311408001,86916.12357136383
170311408002,129094.58538564628
170311408003,158670.3275514096
170311408004,118645.06660455091
170311408005,232544.27932762328
170311502001,248523.15080845932
170311502002,436028.1097077252
170311502003,165648.974128547
170311502004,310797.31355079164
170311502005,165775.05916016217
170311503001,207488.977308712
170311503002,170079.0652750999
170311503003,124352.18994405004
170311503004,165786.7371700532
170311503005,289775.0938077724
170311503006,167822.61300236578
170311503007,201217.2057675952
170311504011,167753.69811856028
170311504012,205462.7081844277
170311504013,205456.91666412863
170311504014,159350.51446833162
170311504021,164357.34937100284
170311504022,164186.01679161645
170311504023,333967.4446112899
170311505011,326981.63770257315
170311505012,146471.20069559364
170311505013,224891.06676012068
170311505021,267792.0066080896
170311505022,169724.4511076208
170311505023,247064.7489898665
170311506001,164321.4780356935
170311506002,164084.04471472255
170311506003,163752.5609167531
170311506004,164033.32071387226
170311507001,165683.0676855251
170311507002,165386.10727455036
170311507003,168033.16492858398
170311507004,163299.12901687677
170311508001,124526.1528994276
170311508002,123474.5913789282
170311508003,165933.37528826832
170311508004,122798.64808108298
170311508005,124312.75752334823
170311510011,206417.78031805085
170311510012,123714.85789367222
170311510021,124163.55731863776
170311510022,226275.48384750585
170311510023,165921.98948680918
170311510024,120789.77381987731
170311511001,165275.2201249224
170311511002,165048.2725350861
170311511003,165138.78766424625
170311511004,165381.24455855982
170311512001,204767.931725926
170311512002,245697.23553575185
170311512003,205120.40931226432
170311601001,286452.5125013352
170311601002,307112.76617255114
170311602001,116796.07233541776
170311602002,130646.28792914293
170311602003,219039.23260501475
170311602004,490690.82695372135
170311603001,162707.22944201718
170311603002,131030.7639553764
170311603003,132435.29533190548
170311604001,264216.6229593727
170311604002,228642.06612191212
170311604003,164478.66520611828
170311605011,181186.49352757435
170311605012,164059.86103883004
170311605021,61538.11691873018
170311605022,146737.32862911746
170311605023,102609.61949926036
170311606011,122686.52959284512
170311606012,82009.42816296355
170311606013,123337.00125043328
170311606021,102054.85227939984
170311606022,102039.69892172748
170311606023,383364.8529328228
170311607001,215305.11808842391
170311607002,123157.46740383244
170311607003,205726.3431858978
170311607004,123245.28969537406
170311607005,123039.77992374724
170311608001,123187.76387215864
170311608002,123351.18334224942
170311608003,123505.22121093694
170311608004,128021.7490647678
170311608005,159562.07563446322
170311609001,277845.7151484279
170311609002,379886.117260499
170311610001,212305.3796896108
170311610002,214196.0667561077
170311611001,232692.49666386785
170311611002,344135.88183441875
170311612001,251339.12739235585
170311612002,266510.9658681366
170311613001,85515.94959902973
170311613002,121265.10037815144
170311613003,123735.68752378268
170311613004,167080.82527611597
170311701001,1014420.3732688816
170311702001,204236.4589425884
170311702002,244825.2880362869
170311702003,203981.2299740604
170311703001,650733.4641977812
170311703002,163004.37628661966
170311703003,164119.77276176878
170311703004,168019.59054468872
170311703005,253021.5520695023
170311704001,175859.0807901159
170311704002,162719.4503300968
170311704003,210650.794162388
170311704004,219792.5365577285
170311705001,644856.1210457096
170311705002,316108.0949277014
170311705003,290555.25582816853
170311705004,287991.6157560894
170311706001,246667.12600931132
170311706002,319863.6082482353
170311707001,177284.68950850988
170311707002,153920.98027538604
170311707003,248392.8583828913
170311708001,242058.1857873805
170311708002,244707.50572334492
170311708003,243559.12443371784
170311709001,320546.1784706467
170311710001,201750.5138491272
170311710002,202182.1180524196
170311710003,205065.23288255645
170311710004,205268.7483224329
170311710005,330268.3720496776
170311710006,248506.3705216514
170311711001,246726.32896410988
170311711002,246581.8081600736
170311711003,172839.4575803617
170311801001,208772.70578462968
170311801002,206645.01723024508
170311801003,205769.58840400857
170311801004,235905.0391989114
170311801005,214308.5834245149
170311901001,316149.6102729975
170311902001,164838.64507210942
170311902002,164805.68866786288
170311902003,165156.63480484782
170311902004,165308.14870823917
170311903001,164810.65103319305
170311903002,164961.2659366725
170311903003,165363.59204653115
170311903004,165167.06494262585
170311904011,327703.9244942799
170311904012,327769.3976231609
170311904021,326839.414946424
170311904022,327140.7916353155
170311906011,123294.57415789642
170311906012,369563.0159262104
170311906013,197173.7014338482
170311906021,130533.22078792
170311906022,327158.5207442228
170311906023,163661.30686919793
170311907011,144536.77921926975
170311907012,133331.03847255593
170311907021,103424.61805498904
170311907022,113428.78871418576
170311907023,166638.85426694265
170311908001,123045.68070780789
170311908002,123259.96569722472
170311908003,168532.84903895593
170311908004,123345.30621178549
170311908005,123134.04779073132
170311909001,314635.8615576922
170311910001,157413.4138464783
170311910002,276900.0500332983
170311911001,124004.13813528889
170311911002,110542.3713005618
170311911003,136822.09734132874
170311911004,124460.02103738891
170311911005,206824.42060308767
170311911006,119774.47387588082
170311912001,205891.0550147148
170311912002,499683.7675876863
170311913011,216275.3630427461
170311913012,292044.84020624094
170311913013,166672.76486583133
170311913021,342540.1642676148
170311913022,288648.8842584658
170312001001,168729.72928167527
170312001002,154300.20424281392
170312001003,261834.085585297
170312002001,211576.9774499932
170312002002,267472.1971373871
170312002003,138518.29968022037
170312002004,201116.5248845477
170312003001,104090.78246947184
170312003002,146577.71989555444
170312004011,172350.0717464311
170312004012,230464.2138293724
170312004021,160426.01115005644
170312004022,113589.84182065832
170312004023,112188.39498266455
170312101001,514313.4212272466
170312101002,184323.24107547203
170312101003,155459.9069981955
170312104001,194889.3768979957
170312104002,226661.265667851
170312105011,102600.16848558048
170312105012,210477.4762495325
170312105021,146294.2396933127
170312105022,99698.39965715098
170312105023,99952.32500981502
170312106011,79192.30523457774
170312106012,81450.1946234614
170312106013,113010.37943200486
170312106021,123648.97274337227
170312106022,99817.05403853944
170312106023,157924.60148571953
170312107001,125537.3483379966
170312107002,123843.91182768402
170312107003,247923.7227056629
170312108001,162931.14808641243
170312109001,422711.84673603217
170312109002,147856.5876531766
170312203001,203223.3560435256
170312203002,122871.7179580292
170312204001,144630.2334223821
170312204002,184918.3819271917
170312205001,124617.52167637144
170312205002,132449.81669855534
170312205003,77854.4657764422
170312206011,76233.65555506731
170312206012,112885.85842537494
170312206021,63937.41883086906
170312206022,64014.8717271326
170312206023,107145.64217930188
170312206024,146913.04918738277
170312206025,82097.49752097206
170312207011,72135.48895914834
170312207012,71990.54349903863
170312207013,122258.35098677636
170312207021,92851.96540398504
170312207022,316814.0166558734
170312207023,72926.79430909429
170312207024,92601.9635467472
170312209011,82556.02762467795
170312209012,82548.62807249614
170312209013,128181.17120557892
170312209021,165356.39922954436
170312209022,164948.73805665798
170312210001,109917.40085003582
170312210002,110131.22610344384
170312211001,166445.35854890232
